route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
40751,106460536362,230826,2265,1,324,Washington
84,106260056362,225182,539,0,230,San Jose
42954,306553626362,228251,3911,0,,San Jose
42954,306253626362,228252,3911,0,,San Jose
36923,112760676362,223790,19,1,242,New Orleans
36948,312753626362,215634,316,1,257,St. Louis
42954,306253626362,203617,6438,0,,Norfolk
40751,206453626004,230818,2265,1,324,Washington
36923,212753626004,223784,19,1,242,New Orleans
36923,112060056042,223785,19,1,135,Atlanta
36923,100760086065,223786,19,1,242,New Orleans
36923,106460466046,223787,19,1,242,New Orleans
36923,112060476063,223788,19,1,135,Atlanta
36923,100160666066,223789,19,1,242,New Orleans
40751,106460116011,230819,2265,1,324,Washington
40751,103260196019,230821,2265,1,324,Washington
40751,106460256025,230822,2265,1,324,Washington
40751,106460326039,230823,2265,1,324,Washington
40751,103260476047,230825,2265,1,324,Washington
84,106260056362,225189,541,0,61,Oakland
40751,106460536362,230835,2257,1,324,Washington
40751,106460046004,230828,2257,1,324,Washington
40751,106460116011,230829,2257,1,324,Washington
84,106260056362,228761,536,1,59,Sacramento
42951,312753626362,195509,301,1,256,St. Louis
88,106460536362,210887,122,0,237,New York
40751,106460536362,210939,2222,0,328,New York
40751,106260486362,230707,2190,0,325,Boston
40751,106260486362,230714,2150,0,327,Boston
36921,312753626362,230717,284,1,280,New York
40751,106260486362,230732,2107,1,326,Washington
42954,106260056362,228190,6627,0,,San Francisco
40751,106260486362,228786,2167,1,324,Washington
40751,106260056016,230703,2190,0,325,Boston
40751,106260206044,230705,2190,0,325,Boston
40751,106260056016,230710,2150,0,327,Boston
40751,106260206044,230712,2150,0,327,Boston
88,106460536362,210986,104,0,237,New York
88,206453626011,210881,122,0,237,New York
88,103260196019,210883,122,0,237,New York
88,106460256039,210884,122,0,237,New York
88,103260476047,210886,122,0,237,New York
42954,106260056362,228196,6626,1,,Emeryville
42954,106260056362,228202,6635,0,,San Francisco
42954,106260056362,228206,6630,1,,Emeryville
40751,206253626016,228782,2167,1,324,Washington
40751,106260206044,228784,2167,1,324,Washington
40751,103260196019,230831,2257,1,324,Washington
40751,106460256039,230832,2257,1,324,Washington
40751,103260476047,230834,2257,1,324,Washington
88,106260486362,228945,184,0,264,Boston
88,106260486362,228953,136,0,258,Springfield
88,106260486362,228961,94,0,341,Boston
88,106260486362,228969,148,0,258,Springfield
81,112760676362,200513,449,0,125,Chicago
42954,312753626362,228270,5717,0,,Bakersfield
40751,106460536362,230844,2292,0,325,Boston
36923,112460676362,223831,20,0,244,New York
36923,100360726362,223832,20,0,244,New York
88,106260056016,228941,184,0,264,Boston
88,106260206044,228943,184,0,264,Boston
88,106260056016,228949,136,0,258,Springfield
88,106260206044,228951,136,0,258,Springfield
88,106260056016,228957,94,0,341,Boston
88,106260206044,228959,94,0,341,Boston
88,106260056016,228965,148,0,258,Springfield
88,106260206044,228967,148,0,258,Springfield
40751,106460536362,230859,2226,0,328,New York
40751,206453626004,230837,2292,0,325,Boston
40751,106460116011,230838,2292,0,325,Boston
40751,103260196019,230840,2292,0,325,Boston
40751,106460256039,230841,2292,0,325,Boston
40751,103260476047,230843,2292,0,325,Boston
40751,206453626004,230852,2226,0,328,New York
40751,106460116011,230853,2226,0,328,New York
40751,103260196019,230855,2226,0,328,New York
40751,106460256039,230856,2226,0,328,New York
40751,103260476047,230858,2226,0,328,New York
81,212753626065,200511,449,0,125,Chicago
81,100160666066,200512,449,0,125,Chicago
36923,200353626065,223817,20,0,244,New York
36923,211653626005,223819,20,0,244,New York
36923,102860066008,223820,20,0,134,New York
36923,106460116011,223821,20,0,244,New York
36923,106060126015,223822,20,0,134,New York
36923,106460186018,223823,20,0,244,New York
36923,106060196043,223824,20,0,134,New York
36923,106460256039,223825,20,0,244,New York
36923,106460466046,223826,20,0,244,New York
36923,103260476047,223827,20,0,244,New York
36923,106060486064,223828,20,0,134,New York
36923,106460536060,223829,20,0,244,New York
36923,100160666066,223830,20,0,244,New York
84,106260056362,225224,551,0,61,Oakland
84,106260056362,225231,547,0,230,San Jose
68,312753626362,215653,64,1,198,New York
42991,112760606362,219069,1333,0,338,St. Paul
40751,106260056016,230728,2107,1,326,Washington
40751,106260206044,230730,2107,1,326,Washington
42991,112760606362,219071,1340,1,337,Chicago
